Feature ID,WT_PBS_Rep1,WT_PBS_Rep2,WT_PBS_Rep3,WT_BLM_Rep1,WT_BLM_Rep2,WT_BLM_Rep3,CA_PBS_Rep1,CA_PBS_Rep2,CA_PBS_Rep3,CA_BLM_Rep1,CA_BLM_Rep2,CA_BLM_Rep3,DN_PBS_Rep1,DN_PBS_Rep2,DN_PBS_Rep3,DN_BLM_Rep1,DN_BLM_Rep2,DN_BLM_Rep3
Gm48863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
00R_AC107638.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00R_Pgap2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610005C13Rik,1,0,6,8,5,3,6,6,3,5,3,2,1,5,7,3,7,2
0610006L08Rik,0,0,0,1,2,1,0,0,0,1,3,1,0,0,1,1,0,0
0610007P14Rik,9,30,37,105,162,57,91,71,16,203,162,135,48,77,81,125,95,35
0610009B22Rik,3,7,8,34,35,7,15,13,3,62,30,49,14,17,23,10,21,12
0610009E02Rik,10,45,38,55,66,36,45,58,26,54,69,63,63,74,72,58,62,27
0610009L18Rik,12,25,27,41,39,9,60,40,13,51,37,23,25,42,28,37,46,25
0610009O20Rik,28,85,109,242,307,141,209,200,66,409,288,296,163,212,213,261,218,131
0610010F05Rik,88,220,268,600,637,215,460,397,150,715,608,490,314,380,395,444,389,166
0610010K14Rik,6,38,40,86,91,56,84,67,23,116,118,111,69,60,98,93,80,61
0610012D04Rik,0,1,1,2,1,1,1,3,0,2,3,0,3,0,2,4,0,1
0610012G03Rik,5,9,9,59,60,11,24,24,10,115,56,98,14,20,31,39,29,12
0610025J13Rik,1,0,1,1,1,2,2,0,2,1,1,3,3,0,2,1,0,0
0610030E20Rik,24,103,86,311,341,134,233,221,65,420,283,257,177,227,254,282,291,130
0610031O16Rik,1,11,3,2,3,1,8,11,7,1,3,2,9,5,4,0,4,2
0610033M10Rik,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
0610037L13Rik,35,79,100,175,203,92,189,165,63,266,219,213,152,174,161,206,151,72
0610038B21Rik,0,2,1,22,17,3,4,7,0,24,11,12,7,4,7,15,8,2
0610039K10Rik,0,1,0,1,2,0,0,0,0,2,2,1,0,0,0,2,3,2
0610040B10Rik,2,1,8,7,8,6,8,4,1,7,21,12,1,14,5,12,13,2
0610040F04Rik,5,9,12,23,37,9,16,17,5,33,29,23,11,14,6,33,10,4
0610040J01Rik,177,460,506,450,491,228,567,516,251,560,423,418,674,759,730,592,433,231
0610043K17Rik,12,32,75,87,77,32,166,127,31,114,79,53,85,71,119,97,77,21
1010001B22Rik,0,0,2,1,0,0,0,0,0,1,0,0,0,1,4,0,1,1
1010001N08Rik,1,2,10,17,16,7,12,12,5,14,19,10,14,13,11,20,15,8
1110002E22Rik,0,6,1,6,17,10,21,7,2,15,11,9,5,3,8,8,8,7
1110002J07Rik,0,2,0,6,5,1,3,2,2,2,5,3,0,0,1,1,4,1
1110002L01Rik,33,88,91,231,254,100,155,140,55,248,171,170,124,187,165,187,182,69
1110002O04Rik,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0
1110003F10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110004E09Rik,51,149,149,116,132,84,159,140,73,167,140,194,153,184,182,114,118,90
1110004F10Rik,32,100,104,282,348,143,180,155,85,477,353,441,139,207,226,291,240,95
1110006O24Rik,1,3,6,3,5,4,0,5,1,9,5,8,2,5,4,5,3,7
1110008E08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110008F13Rik,21,63,101,310,358,124,148,123,57,493,368,417,113,148,160,285,249,91
1110008L16Rik,35,76,104,223,317,101,178,157,53,244,262,171,145,149,148,237,175,84
1110008P14Rik,12,25,28,81,77,37,37,37,20,120,89,122,27,42,48,56,51,25
1110012L19Rik,1,8,7,45,48,6,10,13,5,75,48,56,14,12,19,25,28,11
1110015O18Rik,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0
1110017D15Rik,32,102,105,62,45,33,124,70,60,117,78,110,91,144,127,83,63,44
1110018N20Rik,2,7,3,8,14,5,10,15,2,5,14,4,2,6,9,8,10,8
1110019D14Rik,43,117,123,224,332,153,248,211,95,351,291,211,198,265,241,355,352,102
